Type,masterId,parentId,itemGuid,Menu,Menu group,Subgroup,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Deferred,Qty sold,Avg. price,Item COGS,Gross sales,Discount amount,Refund amount,Void amount,Net sales,COGS,Gross profit,Gross margin (%),Tax,Waste count,Waste amount,Voided gross sale,Voided qty sold,Item qty incl. voids,Gross amount incl. voids
"",,,,,,,,,,,,,3867.5,14.70,,56855.69,998.22,0.0,1305.43,55857.47,,,,4491.18,0.0,0.0,1305.43,104.5,3972.00,58161.12
"",,,,Food,,,,,,,,,2625.5,16.24,,42637.23,839.56,0.0,852.75,41797.67,,,,3425.50,0.0,0.0,852.75,59.5,2685.00,43489.98
"",1300000000070704228,,d0783898-f17e-4d20-bccf-573043bb87a2,Food,Appetizers,,,,,,,,582.0,10.06,,5856.48,101.82,0.0,159.5,5754.66,,,,473.21,0.0,0.0,159.5,16.0,598.00,6015.98
menuItem,1300000000070704230,1300000000070704228,391acba7-af0d-4579-8f5a-40cf1c3658dc,Food,Appetizers,,Bread Plate,,,Food,[],false,166.0,4.52,,749.98,21.39,0.0,22.5,728.59,,,,59.86,0.0,0.0,22.5,5.0,171.00,772.48
menuItem,1300000000070704234,1300000000070704228,bd39ac4b-e5f9-4277-9e9f-ffc676d4f947,Food,Appetizers,,Bruschetta,,,Food,[],false,47.0,13.50,,634.5,1.35,0.0,13.5,633.15,,,,52.07,0.0,0.0,13.5,1.0,48.00,648.00
menuItem,1300000000070704242,1300000000070704228,2ef55f99-9b94-49d5-80c3-4434ed77d2e4,Food,Appetizers,,Clams Appetizer,,,Food,[],false,3.0,18.00,,54.0,0.0,0.0,0.0,54.0,,,,4.41,0.0,0.0,0.0,0.0,3.00,54.00
menuItem,1300000000070704242,1300000000070704228,2ef55f99-9b94-49d5-80c3-4434ed77d2e4,Food,Appetizers,,Clams,,,Food,[],false,15.0,18.00,,270.0,7.06,0.0,36.0,262.94,,,,21.49,0.0,0.0,36.0,2.0,17.00,306.00
menuItem,1300000000070704236,1300000000070704228,53d12345-2a7f-45b9-831f-fd0b99401379,Food,Appetizers,,Fried Mozzerella,,,Food,[],false,95.0,14.00,,1330.0,9.85,0.0,42.0,1320.15,,,,108.43,0.0,0.0,42.0,3.0,98.00,1372.00
menuItem,1300000000070704232,1300000000070704228,0d58b5e8-b44e-452d-b320-34d54f217dfd,Food,Appetizers,,Garlic Bread,,,Food,[],false,124.0,11.02,,1366.0,29.0,0.0,11.0,1337.0,,,,110.61,0.0,0.0,11.0,1.0,125.00,1377.00
menuItem,1300000000070704244,1300000000070704228,0984528e-9538-4551-8365-cbe8883dc1eb,Food,Appetizers,,Meatball App,,,Food,[],false,63.0,8.00,,504.0,10.36,0.0,24.0,493.64,,,,40.72,0.0,0.0,24.0,3.0,66.00,528.00
menuItem,1300000000070704240,1300000000070704228,4f0c4793-8231-40f7-acb4-60145811a7ff,Food,Appetizers,,Mussles Appetizer,,,Food,[],false,35.0,18.00,,630.0,19.08,0.0,0.0,610.92,,,,49.89,0.0,0.0,0.0,0.0,35.00,630.00
menuItem,1300000000070704238,1300000000070704228,01a82b45-c19a-48fc-80c7-cee60e53ccad,Food,Appetizers,,Zucchini Patties APPETIZER,,,Food,[],false,26.0,9.00,,234.0,3.73,0.0,0.0,230.27,,,,18.93,0.0,0.0,0.0,0.0,26.00,234.00
menuItem,1300000003844422578,1300000000070704228,d6246177-4396-447d-aebd-691710225dd5,Food,Appetizers,,Setti Soup,,,Food,[],false,8.0,10.50,,84.0,0.0,0.0,10.5,84.0,,,,6.8,0.0,0.0,10.5,1.0,9.00,94.50
"",1300000000070704246,,2bc295ba-3e3e-4c35-a92b-d2d124ecb0f0,Food,Salad,,,,,,,,230.0,8.33,,1916.0,39.20,0.0,65.0,1876.80,,,,153.20,0.0,0.0,65.0,10.0,240.00,1981.00
menuItem,1300000000070704250,1300000000070704246,be544d1b-9537-4cc0-b434-2dfd651ada6f,Food,Salad,,Caesar LG,,,Food,[],false,11.0,8.41,,92.5,0.0,0.0,8.0,92.5,,,,7.61,0.0,0.0,8.0,1.0,12.00,100.50
menuItem,1300000000070704248,1300000000070704246,f12e23f6-c711-4182-8ec3-5587598100e2,Food,Salad,,Caesar SM,,,Food,[],false,45.0,6.12,,275.5,0.0,0.0,39.0,275.5,,,,22.14,0.0,0.0,39.0,6.0,51.00,314.50
menuItem,1300000000070704258,1300000000070704246,8d5d74fa-8f76-4fa0-a5e9-023a008cca16,Food,Salad,,Caprese,,,Food,[],false,44.0,12.00,,528.0,9.97,0.0,0.0,518.03,,,,42.67,0.0,0.0,0.0,0.0,44.00,528.00
menuItem,1300000000070704254,1300000000070704246,ce57b41f-6e70-4efa-949c-120b0f412eba,Food,Salad,,House LG,,,Food,[],false,15.0,8.00,,120.0,4.47,0.0,0.0,115.53,,,,9.52,0.0,0.0,0.0,0.0,15.00,120.00
menuItem,1300000000070704252,1300000000070704246,98e414fd-2d73-4b72-b713-3e646e2aafc8,Food,Salad,,House SM,,,Food,[],false,54.0,6.00,,324.0,13.47,0.0,18.0,310.53,,,,24.91,0.0,0.0,18.0,3.0,57.00,342.00
menuItem,1300000000070704260,1300000000070704246,61f8295c-9c70-4736-a99c-574e124b1eec,Food,Salad,,Tomato/Cucumber,,,Food,[],false,18.0,8.00,,144.0,0.0,0.0,0.0,144.0,,,,11.88,0.0,0.0,0.0,0.0,18.00,144.00
menuItem,1300000000070704256,1300000000070704246,e0d0b0ac-d5af-4aae-92e4-76b66f971ec2,Food,Salad,,Wedge,,,Food,[],false,43.0,10.05,,432.0,11.29,0.0,0.0,420.71,,,,34.47,0.0,0.0,0.0,0.0,43.00,432.00
"",1300000000070704262,,6da99895-37dd-41f6-bff8-2a1615eb0e8a,Food,Entree,,,,,,,,1363.5,22.50,,30678.26,636.15,0.0,525.75,30042.11,,,,2463.08,0.0,0.0,525.75,21.5,1385.00,31204.01
menuItem,1300000000070704286,1300000000070704262,af307fc4-7f10-41bc-b773-4bc70e2f65b8,Food,Entree,,Chicken Caesar Salad,,,Food,[],false,8.0,13.00,,104.0,0.0,0.0,0.0,104.0,,,,8.56,0.0,0.0,0.0,0.0,8.00,104.00
menuItem,1300000000070704284,1300000000070704262,691028e7-7d2e-4f28-bdd2-bfa3241f729b,Food,Entree,,Chicken Parm,,,Food,[],false,138.0,23.57,,3252.5,52.72,0.0,25.0,3199.78,,,,262.73,0.0,0.0,25.0,1.0,139.00,3277.50
menuItem,1300000000070704298,1300000000070704262,9b8c79c5-5729-4941-b74c-b4fc9d584c28,Food,Entree,,Clams Dinner,,,Food,[],false,6.0,24.33,,146.0,0.0,0.0,24.0,146.0,,,,12.03,0.0,0.0,24.0,1.0,7.00,170.00
