itemGuid,Open item,Sales Category,Item tags,Deferred,Qty sold,Avg. price,Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount,Voided gross sale,Voided qty sold,Item qty incl. voids,Gross amount incl. voids
"",,,,,16.0,108.62,1737.95,0.0,0.0,0.0,1737.95,54.72,0.0,0.0,0.0,0.0,16.00,1737.95
079be069-6908-4985-a03c-49168c440b4e,Carpineto,,[],false,2.0,62.00,124.0,0.0,0.0,0.0,124.0,10.16,0.0,0.0,0.0,0.0,2.00,124.00
079be069-6908-4985-a03c-49168c440b4e,Shot,,[],false,1.0,8.00,8.0,0.0,0.0,0.0,8.0,0.66,0.0,0.0,0.0,0.0,1.00,8.00
079be069-6908-4985-a03c-49168c440b4e,Spl Cocktail,,[],false,1.0,17.00,17.0,0.0,0.0,0.0,17.0,1.39,0.0,0.0,0.0,0.0,1.00,17.00
68371612-1316-4c6c-82d6-6b69c5fde821,1\2  Bread Plate W Oil,,[],false,1.0,2.00,2.0,0.0,0.0,0.0,2.0,0.16,0.0,0.0,0.0,0.0,1.00,2.00
68371612-1316-4c6c-82d6-6b69c5fde821,Catering,,[],false,2.0,285.23,570.45,0.0,0.0,0.0,570.45,41.0,0.0,0.0,0.0,0.0,2.00,570.45
68371612-1316-4c6c-82d6-6b69c5fde821,Catering In House,,[],false,1.0,1000.00,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.00,1000.00
68371612-1316-4c6c-82d6-6b69c5fde821,Chicken Breast,,[],false,1.0,4.50,4.5,0.0,0.0,0.0,4.5,0.37,0.0,0.0,0.0,0.0,1.00,4.50
68371612-1316-4c6c-82d6-6b69c5fde821,Ex Carb,,[],false,1.0,3.00,3.0,0.0,0.0,0.0,3.0,0.25,0.0,0.0,0.0,0.0,1.00,3.00
68371612-1316-4c6c-82d6-6b69c5fde821,Gluten Free Pasta,,[],false,1.0,4.00,4.0,0.0,0.0,0.0,4.0,0.33,0.0,0.0,0.0,0.0,1.00,4.00
68371612-1316-4c6c-82d6-6b69c5fde821,Half Bread Plate,,[],false,2.0,2.50,5.0,0.0,0.0,0.0,5.0,0.4,0.0,0.0,0.0,0.0,2.00,5.00
68371612-1316-4c6c-82d6-6b69c5fde821,Red Saucd,,[],false,1.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00,0.00
68371612-1316-4c6c-82d6-6b69c5fde821,Shellfish Allergy,,[],false,2.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00,0.00
