Order #,Order Date,Amount,Tip,Gratuity,Total,Void User,Void Approver,Void Date,Type,Receipt
1,4/1/26 5:06 PM,72.02,12.00,0.00,84.02,,,,Credit,rpWhJmb7YHLYp
3,4/1/26 5:52 PM,61.66,15.34,0.00,77.00,,,,Credit,RRMdyMnpjPc7y
4,4/1/26 6:02 PM,76.28,15.00,0.00,91.28,,,,Credit,yywRKRjpfwgdm
6,4/1/26 6:46 PM,27.04,20.00,0.00,47.04,,,,Credit,bkbFCNrYMjHWb
7,4/1/26 6:47 PM,30.38,5.00,0.00,35.38,,,,Credit,LJHPKdngphqs9
7,4/1/26 6:47 PM,21.64,3.00,0.00,24.64,,,,Credit,zyMYnYkbmYmnX
8,4/1/26 7:09 PM,32.47,3.00,0.00,35.47,,,,Credit,XhknJTsdRTRgn
2,4/1/26 5:46 PM,68.73,13.00,0.00,81.73,,,,Credit,jHzRqsx7wfJkR
2,4/1/26 5:46 PM,68.73,14.00,0.00,82.73,,,,Credit,dLjpWcPJKsyz9
5,4/1/26 6:43 PM,150.42,30.00,0.00,180.42,,,,Credit,rYbHHFXPqNgMd
9,4/1/26 7:24 PM,90.91,0.00,0.00,90.91,,,,Cash,WWcxntzj7mnMq
1,4/2/26 6:18 PM,88.18,20.00,0.00,108.18,,,,Credit,rjmbYnhdnrnxn
2,4/2/26 6:53 PM,122.38,25.00,0.00,147.38,,,,Credit,CWPWKsT9JXNgW
1,4/3/26 5:03 PM,27.57,6.00,0.00,33.57,,,,Credit,YnYdgdbdzLxC9
2,4/3/26 5:13 PM,96.31,17.80,0.00,114.11,,,,Credit,FzkkCjP9Czjfw
5,4/3/26 5:31 PM,54.08,10.00,0.00,64.08,,,,Credit,7dzmHxMNmhJjR
5,4/3/26 5:31 PM,54.08,10.00,0.00,64.08,,,,Credit,M9kbhxygRPRKp
7,4/3/26 6:07 PM,59.49,11.00,0.00,70.49,,,,Credit,LgXnxwbNCzksh
3,4/3/26 5:18 PM,149.33,30.00,0.00,179.33,,,,Credit,FYrdRW9gdwfjM
6,4/3/26 6:06 PM,57.34,10.00,0.00,67.34,,,,Credit,pXJddhxTmy9wz
4,4/3/26 5:21 PM,137.42,0.00,0.00,137.42,,,,Credit,KJg9KnMprKxNh
8,4/3/26 6:12 PM,48.24,9.81,0.00,58.05,,,,Credit,sx9TjKthjKMfR
12,4/3/26 6:50 PM,76.26,14.10,0.00,90.36,,,,Credit,YKHhWnqMtwwRk
11,4/3/26 6:39 PM,128.75,15.00,0.00,143.75,,,,Credit,NXjxdrJRPtsgj
13,4/3/26 7:00 PM,50.84,14.16,0.00,65.00,,,,Credit,P7LFFpyLgrbbK
14,4/3/26 7:08 PM,98.47,20.00,0.00,118.47,,,,Credit,CxWNwdTkmFdWp
17,4/3/26 8:04 PM,13.51,0.00,0.00,13.51,,,,Credit,C9jXrKfcXbTcz
16,4/3/26 7:56 PM,49.23,10.00,0.00,59.23,,,,Credit,gccYNNzWxLkFc
18,4/3/26 8:19 PM,96.83,28.17,0.00,125.00,,,,Credit,KYHntyFMzfHFR
1,4/4/26 5:04 PM,68.48,12.00,0.00,80.48,,,,Credit,hx7C9hjmTmdTT
3,4/4/26 6:39 PM,63.31,12.00,0.00,75.31,,,,Credit,TLjLtk9YXfCpg
2,4/4/26 6:14 PM,104.42,10.00,0.00,114.42,,,,Credit,JbdJKdcctn9TT
4,4/4/26 6:43 PM,89.36,25.00,0.00,114.36,,,,Credit,XH7dMnFtzKwsF
5,4/4/26 6:57 PM,65.45,15.00,0.00,80.45,,,,Credit,FtfhkykNbR9rP
6,4/4/26 6:57 PM,307.12,76.10,56.78,440.00,,,,Credit,xdxyYmfPthXgf
7,4/4/26 7:24 PM,54.63,9.00,0.00,63.63,,,,Credit,kbWPgbCPygLYW
2,4/6/26 5:21 PM,103.30,19.10,0.00,122.40,,,,Credit,hpMpPsWRqpCFg
1,4/6/26 5:08 PM,421.69,100.00,86.62,608.31,,,,Credit,xCNpkmmtsppRf
3,4/6/26 5:39 PM,70.43,10.43,0.00,80.86,,,,Credit,YTqtFwKYKyWtb
4,4/6/26 7:04 PM,66.72,0.00,0.00,66.72,,,,Credit,LHTWpkjxTyNFL
4,4/6/26 7:04 PM,43.81,25.19,0.00,69.00,,,,Credit,FKtscTCzdPgjX
