Type,Menu,Menu group,Sub groups,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Deferred,% of total qty sold,% of menu qty sold,% of group qty sold,% of total gross sales,% of menu gross sales,% of group gross sales,% of total discount amount,% of menu discount amount,% of group discount amount,% of total refund amount,% of menu refund amount,% of group refund amount,% of total net sales,% of menu net sales,% of group net sales,% of total tax,% of menu tax,% of group tax,% of total void amount,% of menu void amount,% of group void amount,% of total waste count,% of menu waste count,% of group waste count,% of total waste amount,% of menu waste amount,% of group waste amount,% of total voided gross sales,% of menu voided gross sales,% of group voided gross sales,% of total item qty incl. voids,% of menu item qty incl. voids,% of group item qty incl. voids,% of total gross amount incl. voids,% of menu gross amount incl. voids,% of group gross amount incl. voids,% of total voided qty sold,% of menu voided qty sold,% of group voided qty sold
,Food,,,,,,,,,67.89,100.00,,74.99,100.00,,84.11,100.00,,,,,74.83,100.00,,76.27,100.00,,65.32,100.00,,,,,,,,65.32,100.00,,67.60,100.00,,74.78,100.00,,56.94,100.00,
,Food,Appetizers,,,,,,,,15.05,22.17,100.00,10.30,13.74,100.00,10.20,12.13,100.00,,,,10.30,13.77,100.00,10.54,13.81,100.00,12.22,18.70,100.00,,,,,,,12.22,18.70,100.00,15.06,22.27,100.00,10.34,13.83,100.00,15.31,26.89,100.00
menuItem,Food,Appetizers,,Bread Plate,,,Food,[],false,4.29,6.32,28.52,1.32,1.76,12.81,2.14,2.55,21.01,,,,1.30,1.74,12.66,1.33,1.75,12.65,1.72,2.64,14.11,,,,,,,1.72,2.64,14.11,4.31,6.37,28.60,1.33,1.78,12.84,4.78,8.40,31.25
menuItem,Food,Appetizers,,Bruschetta,,,Food,[],false,1.22,1.79,8.08,1.12,1.49,10.83,0.14,0.16,1.33,,,,1.13,1.51,11.00,1.16,1.52,11.00,1.03,1.58,8.46,,,,,,,1.03,1.58,8.46,1.21,1.79,8.03,1.11,1.49,10.77,0.96,1.68,6.25
menuItem,Food,Appetizers,,Clams Appetizer,,,Food,[],false,0.08,0.11,0.52,0.09,0.13,0.92,0.00,0.00,0.00,,,,0.10,0.13,0.94,0.10,0.13,0.93,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.08,0.11,0.50,0.09,0.12,0.90,0.00,0.00,0.00
menuItem,Food,Appetizers,,Clams,,,Food,[],false,0.39,0.57,2.58,0.47,0.63,4.61,0.71,0.84,6.93,,,,0.47,0.63,4.57,0.48,0.63,4.54,2.76,4.22,22.57,,,,,,,2.76,4.22,22.57,0.43,0.63,2.84,0.53,0.70,5.09,1.91,3.36,12.50
menuItem,Food,Appetizers,,Fried Mozzerella,,,Food,[],false,2.46,3.62,16.32,2.34,3.12,22.71,0.99,1.17,9.67,,,,2.36,3.16,22.94,2.41,3.17,22.91,3.22,4.93,26.33,,,,,,,3.22,4.93,26.33,2.47,3.65,16.39,2.36,3.15,22.81,2.87,5.04,18.75
menuItem,Food,Appetizers,,Garlic Bread,,,Food,[],false,3.21,4.72,21.31,2.40,3.20,23.32,2.91,3.45,28.48,,,,2.39,3.20,23.23,2.46,3.23,23.37,0.84,1.29,6.90,,,,,,,0.84,1.29,6.90,3.15,4.66,20.90,2.37,3.17,22.89,0.96,1.68,6.25
menuItem,Food,Appetizers,,Meatball App,,,Food,[],false,1.63,2.40,10.82,0.89,1.18,8.61,1.04,1.23,10.17,,,,0.88,1.18,8.58,0.91,1.19,8.61,1.84,2.81,15.05,,,,,,,1.84,2.81,15.05,1.66,2.46,11.04,0.91,1.21,8.78,2.87,5.04,18.75
menuItem,Food,Appetizers,,Mussles Appetizer,,,Food,[],false,0.90,1.33,6.01,1.11,1.48,10.76,1.91,2.27,18.74,,,,1.09,1.46,10.62,1.11,1.46,10.54,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.88,1.30,5.85,1.08,1.45,10.47,0.00,0.00,0.00
menuItem,Food,Appetizers,,Zucchini Patties APPETIZER,,,Food,[],false,0.67,0.99,4.47,0.41,0.55,4.00,0.37,0.44,3.66,,,,0.41,0.55,4.00,0.42,0.55,4.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.65,0.97,4.35,0.40,0.54,3.89,0.00,0.00,0.00
menuItem,Food,Appetizers,,Setti Soup,,,Food,[],false,0.21,0.30,1.37,0.15,0.20,1.43,0.00,0.00,0.00,,,,0.15,0.20,1.46,0.15,0.20,1.44,0.80,1.23,6.58,,,,,,,0.80,1.23,6.58,0.23,0.34,1.51,0.16,0.22,1.57,0.96,1.68,6.25
,Food,Salad,,,,,,,,5.95,8.76,100.00,3.37,4.49,100.00,3.93,4.67,100.00,,,,3.36,4.49,100.00,3.41,4.47,100.00,4.98,7.62,100.00,,,,,,,4.98,7.62,100.00,6.04,8.94,100.00,3.41,4.56,100.00,9.57,16.81,100.00
